,Player,Tm,Pos,Rec,Rec Yds,Rec TDs,Rushes,Rush Yds,Rush TDs,Pass Yds,Pass TDs,Ints,Standard,Half PPR,PPR
80,Gabriel Davis,BUF,WR,23.0,401.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,68.30000000000001,79.80000000000001,91.30000000000001
81,DeSean Jackson,LAR,WR,32.0,425.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,58.7,74.7,90.7
82,Breshad Perriman,DET,WR,27.0,462.0,2.7,1.0,5.0,0.0,0.0,0.0,0.0,62.900000000000006,76.4,89.9
83,Tre'quan Smith,NOR,WR,29.0,389.0,3.5,0.0,3.0,0.0,0.0,0.0,0.0,60.2,74.7,89.2
84,Randall Cobb,HOU,WR,31.0,460.0,1.7,1.0,6.0,0.0,0.0,0.0,0.0,56.800000000000004,72.30000000000001,87.80000000000001
85,Kendrick Bourne,NWE,WR,33.0,448.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,52.60000000000001,69.10000000000001,85.60000000000001
86,Kadarius Toney,NYG,WR,30.0,393.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,54.300000000000004,69.30000000000001,84.30000000000001
87,K.J. Hamler,DEN,WR,28.0,350.0,2.8,7.0,37.0,0.0,0.0,0.0,0.0,55.5,69.5,83.5
88,Bryan Edwards,LVR,WR,25.0,431.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,56.300000000000004,68.80000000000001,81.30000000000001
89,Van Jefferson,LAR,WR,32.0,375.0,1.7,0.0,-2.0,0.0,0.0,0.0,0.0,47.5,63.5,79.5
90,Tim Patrick,DEN,WR,25.0,361.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,53.5,66.0,78.5
1,Patrick Mahomes,KAN,QB,0.0,0.0,0.0,61.0,338.0,2.2,5200.0,42.0,7.0,409.0,409.0,409.0
2,Josh Allen,BUF,QB,0.0,0.0,0.0,71.0,389.0,7.4,4196.0,34.0,9.0,369.14,369.14,369.14
3,Kyler Murray,ARI,QB,0.0,0.0,0.0,140.0,770.0,10.3,3733.0,24.0,11.0,362.12,362.12,362.12
4,Dak Prescott,DAL,QB,0.0,0.0,0.0,51.0,278.0,3.0,4916.0,30.0,11.0,340.44,340.44,340.44
5,Lamar Jackson,BAL,QB,0.0,0.0,0.0,194.0,1068.0,7.4,2931.0,28.0,10.0,360.44000000000005,360.44000000000005,360.44000000000005
6,Russell Wilson,SEA,QB,0.0,0.0,0.0,84.0,464.0,1.8,3809.0,36.0,12.0,329.56,329.56,329.56
7,Justin Herbert,LAC,QB,0.0,0.0,0.0,41.0,224.0,4.8,4144.0,30.0,10.0,316.96,316.96,316.96
8,Tom Brady,TB,QB,0.0,0.0,0.0,1.0,5.0,2.7,4178.0,36.0,11.0,305.82,305.82,305.82
9,Aaron Rodgers,GNB,QB,0.0,0.0,0.0,22.0,122.0,2.5,3526.0,39.0,4.0,316.24,316.24,316.24
10,Jalen Hurts,PHI,QB,0.0,0.0,0.0,180.0,992.0,8.3,2948.0,17.0,11.0,312.92,312.92,312.92
11,Joe Burrow,CIN,QB,0.0,0.0,0.0,42.0,229.0,4.8,4333.0,21.0,8.0,293.02,293.02,293.02
12,Matt Ryan,ATL,QB,0.0,0.0,0.0,16.0,90.0,2.0,4474.0,25.0,11.0,277.96000000000004,277.96000000000004,277.96000000000004
13,Matthew Stafford,LAR,QB,0.0,0.0,0.0,22.0,119.0,0.0,4326.0,28.0,11.0,274.94,274.94,274.94
14,Ryan Tannehill,TEN,QB,0.0,0.0,0.0,40.0,218.0,5.7,3126.0,27.0,6.0,277.04,277.04,277.04
15,Baker Mayfield,CLE,QB,0.0,0.0,0.0,31.0,171.0,1.0,3688.0,27.0,8.0,262.62,262.62,262.62
16,Kirk Cousins,MIN,QB,0.0,0.0,0.0,23.0,128.0,0.8,3511.0,29.0,11.0,252.03999999999996,252.03999999999996,252.03999999999996
17,Tua Tagovailoa,MIA,QB,0.0,0.0,0.0,37.0,203.0,5.6,3372.0,20.0,9.0,250.77999999999997,250.77999999999997,250.77999999999997
18,Carson Wentz,IND,QB,0.0,0.0,0.0,61.0,337.0,6.1,3197.0,20.0,18.0,242.18,242.18,242.18
19,Derek Carr,LVR,QB,0.0,0.0,0.0,22.0,119.0,2.6,3496.0,23.0,8.0,243.34000000000003,243.34000000000003,243.34000000000003
20,Trevor Lawrence,JAC,QB,0.0,0.0,0.0,29.0,159.0,1.3,3697.0,22.0,15.0,229.57999999999998,229.57999999999998,229.57999999999998
21,Daniel Jones,NYG,QB,0.0,0.0,0.0,86.0,472.0,1.1,3282.0,12.0,11.0,211.08,211.08,211.08
