"Rank","Player","Team","Bye","POS","ESPN","RTSports","Fantrax","FFC","AVG"
"239","Los Angeles Chargers","DST","7","DST21","","221","335","223","251.5"
"240","Breshad Perriman","DET","9","WR75","","245","227","206","226.0"
"241","New York Giants","DST","10","DST22","211","284","337","","254.8"
"242","Benny Snell Jr.","PIT","7","RB69","","262","165","","230.3"
"243","Terrace Marshall Jr.","CAR","13","WR76","","231","211","","231.0"
"244","Jakobi Meyers","NE","14","WR77","174","242","325","","257.3"
"245","Hayden Hurst","ATL","6","TE28","","288","200","","235.7"
"246","Denzel Mims","NYJ","6","WR78","","193","193","","193.0"
"247","Dalton Schultz","DAL","7","TE29","","219","265","","240.0"
"248","Boston Scott","PHI","14","RB70","","229","212","","240.7"
"249","Jimmy Graham","CHI","10","TE30","","283","208","","241.0"
"250","Carolina Panthers","DST","13","DST23","224","294","341","","268.3"
"251","Rondale Moore","ARI","12","WR79","","233","176","","204.5"
"252","Dallas Cowboys","DST","7","DST24","","261","295","","248.3"
"253","Le'Veon Bell","RB71","","240","254","","248.7"
"254","Justin Jackson","LAC","7","RB72","","277","302","188","255.7"
"255","O.J. Howard","TB","9","TE31","","246","198","","222.0"
"256","Joshua Kelley","LAC","7","RB73","","222","226","","224.0"
"257","Joey Slye","CAR","13","K18","","232","375","220","275.7"
"258","Elijah Mitchell","SF","6","RB74","","272","182","","227.0"
"259","La'Mical Perine","NYJ","6","RB75","","","218","","228.5"
"260","Josh Lambo","JAC","7","K19","197","","368","","276.0"
"261","Adrian Peterson","RB76","","274","234","","262.7"
"262","Mac Jones","NE","14","QB33","228","293","315","","278.8"
"263","Cody Parkey","CLE","13","K20","209","","360","","274.0"
"264","Nick Folk","NE","14","K21","227","","","","232.5"
"265","Josh Palmer","LAC","7","WR80","","252","215","","233.5"
"266","Cairo Santos","CHI","10","K22","","","348","","244.0"
"267","Darius Slayton","NYG","10","WR81","","276","225","","265.0"
"268","Dustin Hopkins","WAS","9","K23","","237","381","","285.0"
"269","Jerick McKinnon","KC","12","RB77","","206","327","","268.3"
"270","Ty Johnson","NYJ","6","RB78","","260","222","","241.0"
"271","Demarcus Robinson","KC","12","WR82","","290","231","","270.0"
"272","Kyle Rudolph","NYG","10","TE32","","249","240","","244.5"
"273","Nico Collins","HOU","10","WR83","","323","168","","245.5"
"274","Michael Badgley","LAC","7","K24","","","364","221","285.3"
"275","Giovanni Ricci","CAR","13","TE33","","","","","166.0"
"276","Anthony McFarland Jr.","PIT","7","RB79","","300","196","","248.0"
"277","Wayne Gallman","SF","6","RB80","","258","270","","274.7"
"278","Samaje Perine","CIN","10","RB81","","278","330","219","275.7"
"279","Drew Lock","DEN","11","QB34","","267","278","","275.7"
"280","Brian Hill","TEN","13","RB82","","279","224","","251.5"
"281","Dawson Knox","BUF","7","TE34","","287","288","","276.7"
"282","Jordan Akins","HOU","10","TE35","","","180","","180.0"
"283","Amari Rodgers","GB","13","WR84","","264","358","","288.3"
"284","Tyrell Williams","DET","9","WR85","","204","304","","254.0"
"285","DeeJay Dallas","SEA","9","RB83","","259","253","","256.0"
"286","Ke'Shawn Vaughn","TB","9","RB84","","225","289","","257.0"
"287","Scotty Miller","TB","9","WR86","","","258","","257.5"
"288","Jordan Love","GB","13","QB35","","269","275","","280.7"
"289","Rhamondre Stevenson","NE","14","RB85","","211","306","","258.5"
"290","Jimmy Garoppolo","SF","6","QB36","","296","296","","282.0"
"291","DeSean Jackson","LAR","11","WR87","","317","263","","282.0"
"292","Marquez Valdes-Scantling","GB","13","WR88","","270","319","","282.3"
"293","Keke Coutee","HOU","10","WR89","","255","266","","260.5"
"294","Philadelphia Eagles","DST","14","DST25","","307","362","","294.7"
"295","Malcolm Brown","MIA","14","RB86","","241","283","","262.0"
"296","Ka'imi Fairbairn","HOU","10","K25","","","354","","275.5"
