season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp
2013,NYG,brandon jacobs,00-0023545,143,455,7.0,7.0,2.0,13.0,0.0,-6.0,58.0,238.0,4.0,0.0,0.0,0.0,1.0,0.0,47.1,49.1,48.1
2013,NYG,da'rel scott,00-0028159,140,308,5.0,19.0,11.0,102.0,1.0,-1.0,20.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,23.500000000000004,34.5,29.000000000000004
2013,PIT,jonathan dwyer,00-0027786,139,999,15.0,11.0,8.0,64.0,0.0,21.0,49.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,34.1,30.1
2013,CHI,michael bush,00-0025487,139,1002,15.0,8.0,4.0,48.0,1.0,12.0,63.0,197.0,3.0,0.0,0.0,0.0,0.0,0.0,48.5,52.5,50.5
2013,ARI,stepfan taylor,00-0030282,131,1084,16.0,9.0,8.0,71.0,0.0,25.0,36.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,26.6,22.6
2013,ARI,alfonso smith,00-0027346,131,1084,16.0,13.0,10.0,68.0,0.0,-5.0,18.0,54.0,1.0,0.0,0.0,0.0,2.0,0.0,14.200000000000003,24.200000000000003,19.200000000000003
2013,BUF,tashard choice,00-0026262,125,1085,15.0,9.0,5.0,15.0,0.0,-16.0,46.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,23.5,21.0
2013,HOU,dennis johnson,00-0030236,120,541,8.0,12.0,8.0,46.0,0.0,0.0,49.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,22.900000000000002,30.900000000000002,26.900000000000002
2013,DAL,joseph randle,00-0030388,119,726,13.0,10.0,8.0,61.0,0.0,-2.0,54.0,164.0,2.0,0.0,0.0,0.0,0.0,0.0,34.5,42.5,38.5
2013,MIN,matt asiata,00-0028198,118,749,11.0,8.0,5.0,13.0,0.0,-15.0,44.0,166.0,3.0,0.0,0.0,0.0,1.0,0.0,33.900000000000006,38.900000000000006,36.400000000000006
2013,TEN,jackie battle,00-0025701,113,1075,16.0,5.0,4.0,36.0,0.0,2.0,36.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,23.8,27.8,25.8
2013,NYG,david wilson,00-0029251,111,327,5.0,6.0,2.0,8.0,0.0,29.0,44.0,146.0,1.0,0.0,0.0,0.0,2.0,0.0,17.400000000000002,19.400000000000002,18.400000000000002
2013,CAR,jonathan stewart,00-0026153,108,396,6.0,7.0,7.0,44.0,0.0,2.0,48.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,20.4,27.4,23.9
2013,IND,ahmad bradshaw,00-0025637,102,199,3.0,8.0,7.0,42.0,0.0,-1.0,41.0,186.0,2.0,0.0,0.0,0.0,0.0,0.0,34.8,41.8,38.3
2013,JAX,justin forsett,00-0026373,99,594,9.0,16.0,15.0,82.0,0.0,-28.0,6.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,9.3,24.3,16.8
2013,CLE,edwin baker,00-0029317,97,189,3.0,9.0,8.0,57.0,0.0,-8.0,43.0,171.0,2.0,0.0,0.0,0.0,0.0,0.0,34.8,42.8,38.8
2013,LAR,isaiah pead,00-0029626,90,621,10.0,15.0,11.0,78.0,0.0,12.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,20.9,15.4
2013,SF,anthony dixon,00-0027772,80,991,16.0,3.0,3.0,30.0,0.0,18.0,28.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,20.6,23.6,22.1
2013,NO,khiry robinson,00-0030348,73,698,10.0,0.0,0.0,0.0,0.0,-1.0,54.0,224.0,1.0,0.0,0.0,0.0,0.0,0.0,28.400000000000002,28.400000000000002,28.400000000000002
2013,GB,johnathan franklin,00-0030078,63,717,11.0,5.0,4.0,30.0,0.0,26.0,19.0,107.0,1.0,0.0,0.0,0.0,2.0,0.0,15.700000000000003,19.700000000000003,17.700000000000003
2013,KC,cyrus gray,00-0029298,59,1079,16.0,10.0,7.0,46.0,0.0,59.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001,14.0,10.5
2013,HOU,jonathan grimes,00-0029510,58,126,2.0,6.0,6.0,76.0,0.0,18.0,21.0,73.0,1.0,0.0,0.0,0.0,1.0,0.0,18.900000000000002,24.900000000000002,21.900000000000002
